Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2021-12-08,89.41,85.64,91.19,85.51,27.84K,4.77%,0.04769158659479711,0.046205167997495154,1,0
2021-12-09,80.88,90.25,90.75,80.4,29.01K,-9.54%,-0.09540319874734371,-0.09440623515289945,1,0
2021-12-10,84.37,81.08,84.5,80.48,29.31K,4.32%,0.0431503461918894,0.033763608975275444,1,0
2021-12-13,82.72,84.8,87.4,82.2,18.39K,-1.96%,-0.019556714471968828,-0.01262180078203063,0,0
2021-12-14,80.12,82.32,83.88,78.9,21.06K,-3.14%,-0.03143133462282388,-0.033854968027638696,1,0
2021-12-15,81.19,80.35,82.24,80.1,28.37K,1.34%,0.013354967548676822,0.01703311112346754,0,0
2021-12-16,85.71,82.18,86.05,81.12,34.66K,5.57%,0.055671880773494165,0.04818491964904702,1,0
2021-12-17,74.02,85.25,85.25,73.25,42.72K,-13.64%,-0.13639015284097533,-0.13344777540895036,1,0
2021-12-20,80.09,74.0,81.75,73.42,28.04K,8.20%,0.08200486355039183,0.07200036907698631,1,0
2021-12-21,80.94,80.52,82.85,78.09,18.01K,1.06%,0.010613060307154365,0.016434634338494822,0,0
2021-12-22,76.83,80.07,80.17,75.45,31.50K,-5.08%,-0.05077835433654554,-0.05684961156932775,1,0
2021-12-23,74.46,77.5,77.75,74.25,19.47K,-3.08%,-0.030847325263568925,-0.027930791361262235,1,0
2021-12-24,76.31,74.7,76.87,74.51,2.38K,2.48%,0.024845554660220426,0.013250906508503406,0,0
2021-12-27,76.92,75.87,77.13,75.04,3.63K,0.80%,0.007993709867645027,0.014464400691078088,0,0
2021-12-28,79.29,76.8,79.69,76.21,4.61K,3.08%,0.030811232449297954,0.02970418125181736,1,0
2021-12-29,80.36,79.13,80.87,78.11,13.84K,1.35%,0.013494766048681939,0.009327801344461968,0,0
2021-12-30,80.16,80.5,80.65,79.25,8.54K,-0.25%,-0.002488800398208091,-0.008012119454233512,0,0
2021-12-31,80.65,79.98,81.25,79.55,3.69K,0.61%,0.006112774451097813,0.005454655703106713,0,0
2022-01-03,84.01,79.8,84.4,79.8,9.98K,4.17%,0.04166150030998139,0.040408926951982914,1,0
2022-01-04,84.91,83.95,86.8,83.81,17.53K,1.07%,0.01071301035590988,0.012154206008930706,0,0
2022-01-05,87.58,85.9,88.55,85.27,20.64K,3.14%,0.03144505947473797,0.0290279001128969,1,0
2022-01-06,86.74,87.47,87.8,85.33,13.39K,-0.96%,-0.009591230874628986,-0.01091159644816684,0,0
2022-01-07,85.42,86.8,87.61,85.21,15.83K,-1.52%,-0.015217892552455536,-0.019110607388647092,0,0
2022-01-10,80.09,86.12,87.0,79.8,30.95K,-6.24%,-0.06239756497307425,-0.061085046793033934,1,0
2022-01-11,81.3,81.4,84.45,80.12,23.49K,1.51%,0.01510800349606689,0.01231904909283274,0,0
