Date,Close,High,Low,Open,Volume
06/05/20,10.07044029,10.17435723,9.97597141,10.05154688,420300
07/05/20,10.18380451,10.23103941,10.05154788,10.18380451,496600
08/05/20,10.51445007,10.51445007,10.32551135,10.39163968,343800
11/05/20,10.56168175,10.58057516,10.41053082,10.45776481,477800
12/05/20,10.47666264,10.76951744,10.46721547,10.6089193,353300
13/05/20,10.18380451,10.54278846,10.1176762,10.47666015,714700
14/05/20,10.25937843,10.25937843,9.85316055,10.03265205,568600
15/05/20,10.19325066,10.25937896,10.07988746,10.25937896,265500
18/05/20,10.76951504,10.7789622,10.49555372,10.51444804,375600
19/05/20,10.72228146,10.91122015,10.62781166,10.69393998,544200
20/05/20,10.90177155,11.01513475,10.80730176,10.98679417,387100
21/05/20,10.83564281,10.93011169,10.69393814,10.89232396,281800
22/05/20,10.70338726,10.77896274,10.67504668,10.75062216,433900
26/05/20,11.10015869,11.19462849,11.06237095,11.10960585,869600
27/05/20,11.19462872,11.21352213,10.83564474,11.19462872,609800
28/05/20,11.0529232,11.27020336,11.0529232,11.18518073,555000
29/05/20,11.26075649,11.27964991,11.06237065,11.10015838,491000
01/06/20,11.46858883,11.46858883,11.24186152,11.29854357,448000
02/06/20,11.56305885,11.58195317,11.44024848,11.53471827,414000
03/06/20,11.69531631,11.71420973,11.57250594,11.65752858,1118300
04/06/20,11.68587017,11.77089281,11.59140127,11.70476449,397900
05/06/20,11.89370251,12.05430063,11.89370251,11.94093741,662000
08/06/20,12.24323845,12.24323845,11.97872429,12.06374692,552600
09/06/20,12.02595806,12.08264012,11.92204201,11.99761748,462100
10/06/20,11.95983124,12.10153594,11.88425576,12.10153594,493200
11/06/20,11.15683937,11.57250444,11.11905164,11.47803466,1640700
12/06/20,11.4119072,11.58195246,11.19462794,11.51582325,659700
15/06/20,11.63299179,11.68043484,11.1585631,11.22498282,1089000
16/06/20,11.80378532,11.95560326,11.66145708,11.90816021,1023000
17/06/20,11.56657028,11.87969403,11.53810482,11.83225098,524900
18/06/20,11.651968,11.70889984,11.50963976,11.51912855,649900
19/06/20,11.66145802,11.87020691,11.65196922,11.79429838,508200
22/06/20,11.76583099,11.81327404,11.65196822,11.74685432,430200
23/06/20,11.90815926,12.02202202,11.870205,11.90815926,642100
24/06/20,11.71838951,11.90816081,11.57606036,11.86071776,927800
25/06/20,11.70890141,11.72787808,11.5096413,11.67094714,365300
26/06/20,11.39577961,11.7468568,11.38629082,11.71839133,647200
